fecha,id_producto,precio,oferta
2025-05-01,1082,21.9,0
2025-05-01,1090,22.5,0
2025-05-01,1104,21.9,0
2025-05-01,1112,21.9,0
2025-05-01,1120,21.9,0
2025-05-01,1139,21.9,0
2025-05-01,1155,21.9,0
2025-05-01,1163,25.0,0
2025-05-01,1557,27.5,0
2025-05-01,1606,49.5,0
2025-05-01,1621,38.0,0
2025-05-01,1623,38.0,0
2025-05-01,1629,19.5,0
2025-05-01,1656,7.5,0
2025-05-01,1657,7.5,0
2025-05-01,1659,11.8,0
2025-05-01,1661,11.8,0
2025-05-01,1714,15.5,0
2025-05-01,1715,15.5,0
2025-05-01,1731,13.7,0
2025-05-01,1747,22.0,0
2025-05-01,1767,16.0,0
2025-05-01,1799,130.0,0
2025-05-01,1800,64.0,0
2025-05-01,1801,12.0,0
2025-05-01,1825,66.0,0
2025-05-01,1826,31.2,0
2025-05-01,1831,13.5,0
2025-05-01,1832,19.0,0
2025-05-01,1833,19.0,0
2025-05-01,1834,19.0,0
2025-05-01,1849,8.7,0
2025-05-01,1864,31.2,0
2025-05-01,1867,255.0,0
2025-05-01,1870,33.5,0
2025-05-01,1880,33.5,0
2025-05-01,1883,102.0,0
2025-05-01,1891,102.0,0
2025-05-01,1905,369.0,0
2025-05-01,1908,419.0,0
2025-05-01,1971,17.5,0
2025-05-01,2194,6.9,0
2025-05-01,2585,20.5,0
2025-05-01,2640,55.0,0
2025-05-01,2677,16.0,0
2025-05-01,2718,25.9,0
2025-05-01,3265,55.9,0
2025-05-01,3270,82.3,0
2025-05-01,3705,135.0,0
2025-05-01,3710,53.5,0
2025-05-01,3744,93.0,0
2025-05-01,3751,11.0,0
2025-05-01,3757,19.0,0
2025-05-01,3760,11.0,0
2025-05-01,3794,14.5,0
2025-05-01,3808,14.5,0
2025-05-01,3824,14.5,0
2025-05-01,3871,80.0,0
2025-05-01,3873,80.0,0
2025-05-01,3883,11.0,0
2025-05-01,4795,24.5,0
2025-05-01,4797,24.5,0
2025-05-01,4928,9.3,0
2025-05-01,4944,9.3,0
2025-05-01,5026,21.5,0
2025-05-01,5028,40.0,0
2025-05-01,5035,65.0,0
2025-05-01,5088,7.5,0
2025-05-01,5114,14.0,0
2025-05-01,5118,8.5,0
2025-05-01,5126,4.7,0
2025-05-01,5132,20.0,0
2025-05-01,5156,24.0,0
2025-05-01,5158,15.0,0
2025-05-01,5163,24.0,0
2025-05-01,5165,28.0,0
2025-05-01,5167,18.0,0
2025-05-01,5168,49.0,0
2025-05-01,5171,30.0,0
2025-05-01,5175,21.0,0
2025-05-01,5178,33.0,0
2025-05-01,5180,30.0,0
2025-05-01,5190,30.0,0
2025-05-01,5202,24.0,0
2025-05-01,5203,34.0,0
2025-05-01,5205,21.0,0
2025-05-01,5206,20.0,0
